task,model,prec,rec,F1
ds12,mc.rf_UNDERT,0.5076536359201819,0.533338644608405,0.5195910195970795
ds12,mc.rf_UNDERTPhi,0.5079715175303592,0.5409210812319488,0.5232456838475801
ds12,mc.rf_OVERB,0.5257053153703611,0.47425138037104647,0.49269350737461914
ds12,mc.rf_OVERT,0.4796017658403406,0.4708081519975824,0.4347864289438298
ds12,mc.rf_OVERTPhi,0.4610745852245612,0.47023296752468957,0.432125925356249
ds12,mc.rf_SMOTEB,0.4926510246507892,0.5449039164853902,0.5169260746752898
ds12,mc.rf_SMOTET,0.4790843759607498,0.5583905058385153,0.5151282560602912
ds12,mc.rf_SMOTETPhi,0.48208976366981887,0.5760997669084363,0.5241913337883279
ds12,mc.rpart,0.4651045002844584,0.48968305835909887,0.4757876466187831
ds12,mc.rpart_UNDERB,0.417443717591912,0.5375589558922453,0.4692471467904319
ds12,mc.rpart_UNDERT,0.41453791289242203,0.5189874334260947,0.4601939937883524
ds12,mc.rpart_UNDERTPhi,0.4160392740802969,0.5467412920882573,0.47188454338225333
ds12,mc.rpart_OVERB,0.4128091985627071,0.4532794990215553,0.431701064183411
ds12,mc.rpart_OVERT,0.4238525913724643,0.45485414215712355,0.4383158000716221
ds12,mc.rpart_OVERTPhi,0.424733714208459,0.45533255621436164,0.43915669590952466
ds12,mc.rpart_SMOTEB,0.42287133206100563,0.5463003760773337,0.4762495011662202
ds12,mc.rpart_SMOTET,0.4226522682035451,0.551810075679095,0.47824243072348516
ds12,mc.rpart_SMOTETPhi,0.42278266861165437,0.5878288490463933,0.4911946407256616
ds12,mc.arima,0.4103621070369782,0.4886631724282256,0.44586391989051266
ds12,mc.BDES,1e-05,0.4904274607569694,1.9999592088577876e-05
ds13,mc.lm,0.5671716150087661,0.5130420334371688,0.5205518212404872
ds13,mc.lm_UNDERB,0.5645794673901494,0.6544105192822574,0.6058285758981894
ds13,mc.lm_UNDERT,0.5656560810671604,0.6607463113676845,0.6089692893166601
ds13,mc.lm_UNDERTPhi,0.5469839052859344,0.6736260782272504,0.6032969981913214
ds13,mc.lm_OVERB,0.5712110360720274,0.6584244715562183,0.611483331994577
ds13,mc.lm_OVERT,0.5710879133409297,0.6593903483492621,0.6113754624237284
ds13,mc.lm_OVERTPhi,0.5714231229005877,0.6593514569226612,0.6114857340159078
