workflow,model_family,strategy,variant_index,cost,gamma,un,ov,prec,rec,F1
mc.svm_OVERTPhi14,svm,OVERTPhi,14.0,150.0,0.01,,5.0,0.42061717506233,0.505460063427866,0.443429607074535
mc.svm_OVERTPhi15,svm,OVERTPhi,15.0,300.0,0.01,,5.0,0.41053317724621,0.503020395037366,0.449925553885708
mc.svm_OVERTPhi16,svm,OVERTPhi,16.0,10.0,0.001,,5.0,0.570748817927141,0.478501341233853,0.506442761689316
mc.svm_OVERTPhi17,svm,OVERTPhi,17.0,150.0,0.001,,5.0,0.55796592204233,0.49471402241556,0.51685320059146
mc.svm_OVERTPhi18,svm,OVERTPhi,18.0,300.0,0.001,,5.0,0.571238295663704,0.496359607812483,0.531819670741666
mc.svm_OVERTPhi19,svm,OVERTPhi,19.0,10.0,0.01,,10.0,0.45396495295085,0.506233649440565,0.502893608194402
mc.svm_OVERTPhi20,svm,OVERTPhi,20.0,150.0,0.01,,10.0,0.40108879416007,0.510193155105673,0.448568824738882
mc.svm_OVERTPhi21,svm,OVERTPhi,21.0,300.0,0.01,,10.0,0.386190843052678,0.500439664388223,0.43431651150214
mc.svm_OVERTPhi22,svm,OVERTPhi,22.0,10.0,0.001,,10.0,0.533842650184663,0.478298555214363,0.497406968696888
mc.svm_OVERTPhi23,svm,OVERTPhi,23.0,150.0,0.001,,10.0,0.541975205104903,0.50267543157374,0.520138432700494
mc.svm_OVERTPhi24,svm,OVERTPhi,24.0,300.0,0.001,,10.0,0.525295956930844,0.508526489331261,0.520826129363974
mc.svm_SMOTEB1,svm,SMOTEB,1.0,10.0,0.01,0.05,2.0,0.465406060605764,0.528430351632068,0.49185616509909
mc.svm_SMOTEB2,svm,SMOTEB,2.0,150.0,0.01,0.05,2.0,0.402751494912729,0.534667179256549,0.460452531562791
mc.svm_SMOTEB3,svm,SMOTEB,3.0,300.0,0.01,0.05,2.0,0.369334012709021,0.520199909464453,0.431916309968127
mc.svm_SMOTEB4,svm,SMOTEB,4.0,10.0,0.001,0.05,2.0,0.468124436764192,0.47123591604676,0.466000564410842
mc.svm_SMOTEB5,svm,SMOTEB,5.0,150.0,0.001,0.05,2.0,0.459296718926884,0.51283237972409,0.481829099708337
mc.svm_SMOTEB6,svm,SMOTEB,6.0,300.0,0.001,0.05,2.0,0.462218127990903,0.523878678751298,0.490042464121621
mc.svm_SMOTEB7,svm,SMOTEB,7.0,10.0,0.01,0.1,2.0,0.45414136300076,0.518533351936286,0.480057652450064
mc.svm_SMOTEB8,svm,SMOTEB,8.0,150.0,0.01,0.1,2.0,0.419226926641076,0.529708224035647,0.454601936399833
mc.svm_SMOTEB9,svm,SMOTEB,9.0,300.0,0.01,0.1,2.0,0.40072805749511,0.511565911080642,0.446028254650897
mc.svm_SMOTEB10,svm,SMOTEB,10.0,10.0,0.001,0.1,2.0,0.490254416510654,0.466441035072551,0.477614523663332
mc.svm_SMOTEB11,svm,SMOTEB,11.0,150.0,0.001,0.1,2.0,0.481538632383208,0.49936980297789,0.486798456162496
mc.svm_SMOTEB12,svm,SMOTEB,12.0,300.0,0.001,0.1,2.0,0.477086325263067,0.512359137841112,0.490078736089244
mc.svm_SMOTEB13,svm,SMOTEB,13.0,10.0,0.01,0.2,2.0,0.491883839188001,0.518496304932571,0.51007894589754
mc.svm_SMOTEB14,svm,SMOTEB,14.0,150.0,0.01,0.2,2.0,0.410910217326937,0.513148022501362,0.461115207771554
mc.svm_SMOTEB15,svm,SMOTEB,15.0,300.0,0.01,0.2,2.0,0.400826433962965,0.516034016283292,0.445219651359111
mc.svm_SMOTEB16,svm,SMOTEB,16.0,10.0,0.001,0.2,2.0,0.535972583898177,0.471364982377181,0.497317971464331
mc.svm_SMOTEB17,svm,SMOTEB,17.0,150.0,0.001,0.2,2.0,0.497496609377794,0.503425725731023,0.495249106008113
